data,hora,latitude,longitude,velocidade,altitude,satelites,xg,yg,zg,x,y,z
1692015,21142,-7.14089,-34.85075,0.13,54.70,7,-0.21,-0.04,0.92,28,-10,20
1692015,21143,-7.14089,-34.85075,0.13,54.70,7,-0.21,-0.04,0.91,32,-6,18
1692015,21143,-7.14089,-34.85075,0.13,54.70,7,-0.22,-0.04,0.91,29,-9,19
1692015,21143,-7.14089,-34.85075,0.13,54.70,7,-0.21,-0.04,0.92,32,-7,23
1692015,21143,-7.14089,-34.85075,0.13,54.70,7,-0.21,-0.04,0.92,27,-4,17
1692015,21143,-7.14089,-34.85075,0.09,54.70,7,-0.21,-0.04,0.92,32,-5,20
1692015,21143,-7.14089,-34.85075,0.09,54.70,7,-0.21,-0.04,0.92,28,-8,17
1692015,21143,-7.14089,-34.85075,0.09,54.80,7,-0.21,-0.04,0.92,31,-3,22
1692015,21143,-7.14089,-34.85075,0.09,54.80,7,-0.21,-0.04,0.92,27,-9,24
1692015,21144,-7.14089,-34.85075,0.09,54.80,7,-0.21,-0.04,0.92,24,-6,21
1692015,21144,-7.14089,-34.85075,0.09,54.80,7,-0.22,-0.04,0.92,28,-8,25
1692015,21144,-7.14089,-34.85075,0.09,54.80,7,-0.21,-0.04,0.93,27,-3,23
1692015,21144,-7.14089,-34.85075,0.09,54.80,7,-0.21,-0.04,0.92,27,-4,24
1692015,21144,-7.14089,-34.85075,0.11,54.80,7,-0.21,-0.04,0.92,29,-8,18
1692015,21144,-7.14089,-34.85075,0.11,54.80,7,-0.21,-0.05,0.93,27,-9,19
1692015,21144,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.92,26,-2,22
1692015,21144,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.92,28,-6,21
1692015,21145,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.92,30,-6,17
1692015,21145,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.92,26,-5,20
1692015,21145,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.92,29,-5,19
1692015,21145,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.92,27,-9,20
1692015,21145,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.92,27,-4,17
1692015,21145,-7.14089,-34.85075,0.11,54.90,7,-0.21,-0.04,0.93,28,-3,18
1692015,21145,-7.14089,-34.85075,0.11,55.00,9,-0.21,-0.04,0.92,29,-6,19
1692015,21145,-7.14089,-34.85075,0.11,55.00,9,-0.22,-0.04,0.94,26,-2,21
1692015,21146,-7.14089,-34.85075,0.11,55.00,9,-0.22,-0.05,0.94,25,-2,22
1692015,21146,-7.14089,-34.85075,0.11,55.00,9,-0.21,-0.04,0.92,33,-9,24
1692015,21146,-7.14089,-34.85075,0.11,55.00,9,-0.21,-0.04,0.93,36,-8,21
1692015,21146,-7.14089,-34.85075,0.11,55.00,9,-0.21,-0.02,0.90,36,-6,22
1692015,21146,-7.14089,-34.85075,0.17,55.00,9,-0.21,-0.03,0.92,17,1,24
1692015,21146,-7.14089,-34.85075,0.17,55.00,9,-0.22,-0.04,0.93,25,-4,22
1692015,21146,-7.14089,-34.85075,0.17,55.10,9,-0.21,-0.04,0.91,28,-8,21
1692015,21146,-7.14089,-34.85075,0.17,55.10,9,-0.21,-0.04,0.93,27,-5,22
1692015,21147,-7.14089,-34.85075,0.17,55.10,9,-0.21,-0.04,0.92,29,-7,18
1692015,21147,-7.14089,-34.85075,0.17,55.10,9,-0.21,-0.04,0.92,25,-4,24
1692015,21147,-7.14089,-34.85075,0.17,55.10,9,-0.21,-0.04,0.91,31,-4,23
1692015,21147,-7.14089,-34.85075,0.17,55.10,9,-0.21,-0.04,0.92,29,-4,21
